Дата;Отрасль;Значение
31.08.2018;Транспортировка и хранение;33485.00
31.08.2018;Услуги ЖКХ;31452.00
31.08.2018;Финансы и страхование;38648.00
30.09.2018;Административная деятельность;22121.00
30.09.2018;Водоснабжение;24212.00
30.09.2018;Гос. управление;33520.00
30.09.2018;Гостиницы и общепит;21800.00
30.09.2018;Добыча полезных ископаемых;40404.00
30.09.2018;Здравоохранение;25834.00
30.09.2018;ИТ и связь;33021.00
30.09.2018;Научная и проф. деятельность;36468.00
30.09.2018;Обрабатывающие производства;28894.00
30.09.2018;Образование;23730.00
30.09.2018;Операции с недвижимостью;24017.00
30.09.2018;Сельское хозяйство;24863.00
30.09.2018;Спорт и досуг;24285.00
30.09.2018;Строительство;32400.00
30.09.2018;Торговля;25253.00
30.09.2018;Транспортировка и хранение;32074.00
30.09.2018;Услуги ЖКХ;29453.00
30.09.2018;Финансы и страхование;37560.00
31.10.2018;Административная деятельность;22074.00
31.10.2018;Водоснабжение;24565.00
31.10.2018;Гос. управление;32234.00
31.10.2018;Гостиницы и общепит;21750.00
31.10.2018;Добыча полезных ископаемых;41519.00
31.10.2018;Здравоохранение;25586.00
31.10.2018;ИТ и связь;33521.00
31.10.2018;Научная и проф. деятельность;37821.00
31.10.2018;Обрабатывающие производства;29811.00
31.10.2018;Образование;23940.00
31.10.2018;Операции с недвижимостью;24360.00
31.10.2018;Сельское хозяйство;24870.00
31.10.2018;Спорт и досуг;24432.00
31.10.2018;Строительство;32948.00
31.10.2018;Торговля;25784.00
31.10.2018;Транспортировка и хранение;32907.00
31.10.2018;Услуги ЖКХ;29870.00
31.10.2018;Финансы и страхование;44937.00
30.11.2018;Административная деятельность;22054.00
30.11.2018;Водоснабжение;24563.00
30.11.2018;Гос. управление;35350.00
30.11.2018;Гостиницы и общепит;21549.00
30.11.2018;Добыча полезных ископаемых;41043.00
30.11.2018;Здравоохранение;26268.00
30.11.2018;ИТ и связь;34800.00
30.11.2018;Научная и проф. деятельность;38699.00
30.11.2018;Обрабатывающие производства;29692.00
30.11.2018;Образование;24390.00
30.11.2018;Операции с недвижимостью;24708.00
30.11.2018;Сельское хозяйство;24071.00
30.11.2018;Спорт и досуг;24790.00
30.11.2018;Строительство;32656.00
30.11.2018;Торговля;25456.00
30.11.2018;Транспортировка и хранение;32726.00
30.11.2018;Услуги ЖКХ;29911.00
30.11.2018;Финансы и страхование;46239.00
31.12.2018;Административная деятельность;23610.00
31.12.2018;Водоснабжение;25844.00
31.12.2018;Гос. управление;46779.00
31.12.2018;Гостиницы и общепит;21939.00
31.12.2018;Добыча полезных ископаемых;46732.00
31.12.2018;Здравоохранение;28120.00
31.12.2018;ИТ и связь;36701.00
31.12.2018;Научная и проф. деятельность;45406.00
31.12.2018;Обрабатывающие производства;31829.00
31.12.2018;Образование;26620.00
31.12.2018;Операции с недвижимостью;26060.00
31.12.2018;Сельское хозяйство;25900.00
31.12.2018;Спорт и досуг;27965.00
31.12.2018;Строительство;34800.00
31.12.2018;Торговля;26100.00
31.12.2018;Транспортировка и хранение;34787.00
31.12.2018;Услуги ЖКХ;34502.00
31.12.2018;Финансы и страхование;78612.00
31.01.2019;Административная деятельность;23421.00
31.01.2019;Водоснабжение;25784.00
31.01.2019;Гос. управление;31012.00
31.01.2019;Гостиницы и общепит;22336.00
31.01.2019;Добыча полезных ископаемых;45740.00
31.01.2019;Здравоохранение;27327.00
31.01.2019;ИТ и связь;35584.00
31.01.2019;Научная и проф. деятельность;37865.00
31.01.2019;Обрабатывающие производства;30158.00
31.01.2019;Образование;24580.00
31.01.2019;Операции с недвижимостью;25012.00
31.01.2019;Сельское хозяйство;24906.00
31.01.2019;Спорт и досуг;25683.00
31.01.2019;Строительство;31624.00
31.01.2019;Торговля;26464.00
31.01.2019;Транспортировка и хранение;34251.00
31.01.2019;Услуги ЖКХ;32155.00
31.01.2019;Финансы и страхование;39064.00
28.02.2019;Административная деятельность;22115.00
28.02.2019;Водоснабжение;24429.00
28.02.2019;Гос. управление;31248.00
28.02.2019;Гостиницы и общепит;21185.00
28.02.2019;Добыча полезных ископаемых;40544.00
28.02.2019;Здравоохранение;26237.00
28.02.2019;ИТ и связь;34800.00
28.02.2019;Научная и проф. деятельность;37484.00
28.02.2019;Обрабатывающие производства;29443.00
28.02.2019;Образование;24318.00
28.02.2019;Операции с недвижимостью;24360.00
28.02.2019;Сельское хозяйство;22935.00
28.02.2019;Спорт и досуг;24572.00
28.02.2019;Строительство;31000.00
28.02.2019;Торговля;25056.00
28.02.2019;Транспортировка и хранение;33151.00
28.02.2019;Услуги ЖКХ;31032.00
28.02.2019;Финансы и страхование;40808.00
31.03.2019;Административная деятельность;22620.00
31.03.2019;Водоснабжение;24826.00
31.03.2019;Гос. управление;31353.00
31.03.2019;Гостиницы и общепит;21750.00
31.03.2019;Добыча полезных ископаемых;43257.00
31.03.2019;Здравоохранение;26950.00
31.03.2019;ИТ и связь;37415.00
31.03.2019;Научная и проф. деятельность;39013.00
31.03.2019;Обрабатывающие производства;30122.00
31.03.2019;Образование;24604.00
31.03.2019;Операции с недвижимостью;24566.00
31.03.2019;Сельское хозяйство;23490.00
31.03.2019;Спорт и досуг;25509.00
31.03.2019;Строительство;32213.00
31.03.2019;Торговля;26100.00
31.03.2019;Транспортировка и хранение;33495.00
31.03.2019;Услуги ЖКХ;30993.00
31.03.2019;Финансы и страхование;40493.00
30.04.2019;Административная деятельность;22749.00
30.04.2019;Водоснабжение;25336.00
30.04.2019;Гос. управление;34791.00
30.04.2019;Гостиницы и общепит;21661.00
30.04.2019;Добыча полезных ископаемых;43443.00
30.04.2019;Здравоохранение;26610.00
